iter	Passed	Remaining
526	258042	9534851
527	258559	9535359
528	259040	9534557
529	259535	9534240
530	260020	9533613
531	260540	9534218
532	261034	9533884
533	261522	9533343
534	262020	9533130
535	262479	9531542
536	262945	9530165
537	263416	9529025
538	263860	9526896
539	264332	9525744
540	264808	9524771
541	265293	9524128
542	265778	9523489
543	266257	9522617
544	266753	9522372
545	267242	9521842
546	267740	9521663
547	268220	9520831
548	268710	9520368
549	269181	9519247
550	269683	9519200
551	270156	9518134
552	270658	9518058
553	271153	9517791
554	271628	9516783
555	272125	9516573
556	272656	9517519
557	273131	9516525
558	273612	9515744
559	274086	9514710
560	274554	9513478
561	275041	9512904
562	275530	9512410
563	276058	9513238
564	276541	9512550
565	277030	9512030
566	277536	9512099
567	278032	9511855
568	278530	9511638
569	278996	9510337
570	279468	9509272
571	279968	9509136
572	280475	9509234
573	281011	9510342
574	281492	9509548
575	281992	9509425
576	282467	9508439
577	282954	9507863
578	283473	9508348
579	283968	9508064
580	284451	9507350
581	284936	9506692
582	285510	9509031
583	286099	9511834
584	286606	9511916
585	287076	9510760
586	287581	9510751
587	288086	9510788
588	288597	9510987
589	289050	9509283
590	289533	9508556
591	290014	9507775
592	290504	9507278
593	291016	9507534
594	291495	9506683
595	291955	9505203
596	292423	9504007
597	292936	9504269
598	293407	9503178
599	293903	9502889
600	294393	9502409
601	294847	9500744
602	295321	9499752
603	295781	9498294
604	296260	9497470
605	296731	9496395
606	297242	9496564
607	297742	9496424
608	298253	9496610
609	298766	9496847
610	299223	9495317
611	299720	9495078
612	300235	9495386
613	300803	9497370
614	301317	9497614
615	301796	9496787
616	302301	9496761
617	302797	9496482
618	303266	9495322
619	303771	9495305
620	304255	9494620
621	304729	9493660
622	305239	9493792
623	305708	9492627
624	306189	9491882
625	306681	9491456
626	307125	9489549
627	307586	9488174
628	308066	9487356
629	308564	9487144
630	309042	9486296
631	309551	9486390
632	310019	9485224
633	310487	9484074
634	310994	9484105
635	311497	9484021
636	311987	9483546
637	312457	9482442
638	312945	9481918
639	313436	9481446
640	313941	9481418
641	314430	9480915
642	314888	9479479
643	315380	9479035
644	315858	9478209
645	316350	9477791
646	316835	9477139
647	317336	9477009
648	317870	9477825
649	318389	9478219
650	318872	9477524
651	319375	9477413
652	319843	9476274
653	320298	9474754
654	320756	9473324
655	321265	9473423
656	321732	9472243
657	322227	9471927
658	322704	9471045
659	323174	9469995
660	323669	9469670
661	324162	9469276
662	324620	9467849
663	325099	9467060
664	325576	9466195
665	326059	9465503
666	326512	9463955
667	326967	9462486
668	327475	9462526
669	327984	9462603
670	328474	9462118
671	328967	9461732
672	329636	9466385
673	330164	9466994
674	330653	9466474
675	331144	9466034
676	331640	9465725
677	332152	9465857
678	332647	9465523
679	333125	9464678
680	333610	9464068
681	334100	9463580
682	334615	9463784
683	335084	9462701
684	335596	9462834
685	336077	9462091
686	336564	9461531
687	337063	9461300
688	337559	9460971
689	338047	9460424
690	338559	9460543
691	339053	9460184
692	339514	9458893
693	339989	9457989
694	340454	9456795
695	340942	9456254
696	341478	9457035
697	341973	9456685
698	342436	9455458
699	342916	9454702
700	343398	9453993
701	343892	9453616
702	344406	9453787
703	344911	9453710
704	345378	9452606
705	345860	9451890
706	346368	9451897
707	346866	9451617
708	347342	9450750
709	347819	9449914
710	348294	9449029
711	348787	9448613
712	349263	9447760
713	349758	9447408
714	350240	9446701
715	350708	9445624
716	351196	9445090
717	351706	9445131
718	352191	9444523
719	352663	9443548
720	353125	9442315
721	353593	9441229
722	354098	9441153
723	354606	9441165
724	355092	9440570
725	355592	9440354
726	356058	9439210
727	356624	9440743
728	357136	9440854
729	357638	9440667
730	358104	9439561
731	358612	9439547
732	359111	9439301
733	359600	9438767
734	360073	9437855
735	360551	9437039
736	361046	9436699
737	361562	9436878
738	362097	9437572
739	362623	9438022
740	363086	9436828
741	363602	9437013
742	364085	9436332
743	364628	9437202
744	365093	9436068
745	365582	9435556
746	366084	9435370
747	366558	9434461
748	367063	9434362
749	367544	9433647
750	368062	9433859
751	368523	9432637
752	368982	9431337
753	369453	9430376
754	369932	9429599
755	370438	9429517
756	370916	9428734
757	371405	9428201
758	371923	9428420
759	372408	9427824
760	372900	9427364
761	373402	9427176
762	373864	9425992
763	374329	9424868
764	374798	9423843
765	375292	9423468
766	375823	9424014
767	376324	9423794
768	376805	9423082
769	377306	9422871
770	377796	9422369
771	378268	9421443
772	378756	9420894
773	379239	9420220
774	379745	9420135
775	380240	9419766
776	380724	9419139
777	381202	9418350
778	381669	9417282
779	382186	9417458
780	382636	9415982
781	383133	9415686
782	383631	9415374
783	384148	9415555
784	384653	9415442
785	385166	9415513
786	385655	9415002
787	386142	9414418
788	386620	9413639
789	387107	9413088
790	387574	9412025
791	388051	9411232
792	388536	9410627
793	388995	9409375
794	389472	9408586
795	389947	9407740
796	390455	9407677
797	390974	9407896
798	391438	9406764
799	391921	9406107
800	392472	9407093
801	392970	9406783
802	393475	9406659
803	393951	9405847
804	394463	9405861
805	394959	9405528
806	395453	9405120
807	395952	9404863
808	396419	9403817
809	396906	9403257
810	397388	9402585
811	397880	9402131
812	398352	9401206
813	398879	9401594
814	399345	9400548
815	399836	9400082
816	400327	9399602
817	400814	9399042
818	401256	9397441
819	401716	9396252
820	402209	9395829
821	402711	9395629
822	403224	9395676
823	403680	9394388
824	404132	9393029
825	404622	9392532
826	405128	9392427
827	405620	9391965
828	406123	9391789
829	406632	9391749
830	407094	9390607
831	407561	9389600
832	408009	9388147
833	408526	9388266
834	409014	9387742
835	409520	9387617
836	410011	9387158
837	410469	9385946
838	410994	9386255
839	411459	9385195
840	411966	9385086
841	412546	9386658
842	413008	9385539
843	413512	9385357
844	413969	9384134
845	414469	9383861
846	414966	9383526
847	415438	9382635
848	415927	9382121
849	416418	9381655
850	416874	9380400
851	417340	9379391
852	417818	9378628
853	418330	9378641
854	418845	9378703
855	419300	9377429
856	419784	9376824
857	420252	9375834
858	420740	9375307
859	421207	9374325
860	421688	9373634
861	422158	9372706
862	422677	9372857
863	423163	9372290
864	423615	9370962
865	424110	9370588
866	424590	9369877
867	425079	9369389
868	425577	9369065
869	426097	9369258
870	426607	9369198
871	427091	9368592
872	427576	9367983
873	428060	9367378
874	428524	9366331
875	429018	9365932
876	429513	9365555
877	429998	9364964
878	430444	9363508
879	430946	9363281
880	431435	9362780
881	431955	9362952
882	432417	9361873
883	432942	9362144
884	433486	9362815
885	434016	9363203
886	434518	9362963
887	435046	9363304
888	435546	9363028
889	436048	9362797
890	436511	9361727
891	436983	9360847
892	437461	9360110
893	437951	9359624
894	438466	9359666
895	438953	9359125
896	439439	9358545
897	439918	9357826
898	440435	9357902
899	440914	9357194
900	441434	9357324
901	441915	9356656
902	442396	9355972
903	442896	9355698
904	443383	9355152
905	443831	9353779
906	444297	9352776
907	444784	9352225
908	445238	9350982
909	445725	9350440
910	446198	9349606
911	446662	9348568
912	447136	9347755
913	447649	9347737
914	448110	9346657
915	448633	9346866
916	449144	9346801
917	449628	9346201
918	450135	9346075
919	450612	9345319
920	451124	9345291
921	451591	9344310
922	452081	9343839
923	452539	9342696
924	453084	9343344
925	453562	9342608
926	454043	9341923
927	454549	9341768
928	455051	9341545
929	455509	9340392
930	455947	9338838
931	456463	9338888
932	456952	9338387
933	457469	9338458
934	457974	9338262
935	458459	9337692
936	458944	9337104
937	459449	9336922
938	459959	9336827
939	460464	9336644
940	461011	9337324
941	461531	9337448
942	462012	9336763
943	462487	9335975
944	463005	9336051
945	463482	9335301
946	463989	9335149
947	464461	9334302
948	464962	9334035
949	465428	9333074
950	465879	9331797
951	466354	9331016
952	466867	9330990
953	467327	9329888
954	467817	9329404
955	468288	9328545
956	468771	9327918
957	469231	9326837
958	469756	9327033
959	470237	9326372
960	470692	9325193
961	471191	9324888
962	471681	9324400
963	472168	9323864
964	472707	9324345
965	473204	9323986
966	473721	9324029
967	474171	9322763
968	474666	9322378
969	475182	9322390
970	475661	9321688
971	476151	9321211
972	476652	9320937
973	477136	9320317
974	477590	9319138
975	478093	9318905
976	478579	9318333
977	479050	9317492
978	479567	9317520
979	480057	9317040
980	480546	9316531
981	481029	9315914
982	481527	9315571
983	482015	9315048
984	482505	9314568
985	483001	9314189
986	483482	9313530
987	483970	9313005
988	484412	9311595
989	484907	9311204
990	485414	9311045
991	485915	9310776
992	486371	9309629
993	486872	9309357
994	487389	9309393
995	487864	9308610
996	488346	9307979
997	488921	9309098
998	489424	9308857
999	489906	9308230
1000	490389	9307596
1001	490880	9307136
1002	491365	9306550
1003	491837	9305730
1004	492480	9308126
1005	493449	9316672
1006	494013	9317573
1007	494484	9316722
1008	494935	9315475
1009	495386	9314252
1010	495818	9312658
1011	496270	9311446
1012	496755	9310852
1013	497235	9310170
1014	497666	9308574
1015	498111	9307237
1016	498575	9306249
1017	499039	9305264
1018	499499	9304222
1019	499963	9303249
1020	500408	9301910
1021	500861	9300726
1022	501317	9299608
1023	501750	9298056
1024	502214	9297096
1025	502659	9295778
1026	503128	9294897
1027	503593	9293939
1028	504085	9293485
1029	504543	9292410
1030	504961	9290615
1031	505422	9289585
1032	505872	9288371
1033	506336	9287399
1034	506788	9286233
1035	507243	9285103
1036	507720	9284374
1037	508180	9283347
1038	508668	9282838
1039	509110	9281472
1040	509543	9279948
1041	509993	9278755
1042	510402	9276801
1043	510846	9275480
1044	511311	9274562
1045	511763	9273394
1046	512213	9272190
1047	512720	9272016
1048	513143	9270339
1049	513594	9269165
1050	513594	9269165
1051	514227	9270774
1052	514664	9269340
1053	515605	9276985
1054	516224	9278825
1055	516753	9279027
1056	517272	9279056
1057	517800	9279253
1058	518316	9279240
1059	518844	9279431
1060	519361	9279419
1061	519817	9278322
1062	520260	9277002
1063	520704	9275700
1064	521335	9277706
1065	521870	9278025
1066	522322	9276861
1067	522735	9274999
1068	523192	9273936
1069	523664	9273129
1070	524100	9271672
1071	524510	9269779
1072	524956	9268520
1073	525385	9266964
1074	525819	9265484
1075	526264	9264206
1076	526701	9262799
1077	527142	9261463
1078	527617	9260718
1079	528057	9259363
1080	528501	9258077
1081	528935	9256616
1082	529421	9256060
1083	529857	9254649
1084	530302	9253385
1085	530730	9251832
1086	531159	9250299
1087	531594	9248862
1088	532038	9247600
1089	532477	9246227
1090	532885	9244346
1091	533303	9242630
1092	533732	9241093
1093	534167	9239687
1094	534589	9238040
1095	535036	9236831
1096	535544	9236680
1097	535981	9235294
1098	536422	9233983
1099	536877	9232926
1100	537317	9231606
1101	537764	9230399
1102	538209	9229178
1103	538639	9227680
1104	539085	9226474
1105	539552	9225610
1106	539970	9223918
1107	540408	9222579
1108	540844	9221210
